15:39:20.424                     epl                               dbgcommand():                                   using log file 'C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\logs\StreamDeck0.log'
15:39:20.424                     StreamDeck                        main():                                         Compiled with Qt 5.15.2 ; SSL: OpenSSL 1.1.1g  21 Apr 2020
15:39:20.426                     StreamDeck                        main():                                         Runtime SSL Supported: 1
15:39:20.426                     StreamDeck                        main():                                         Runtime SSL version used: OpenSSL 1.1.1d  10 Sep 2019
15:39:20.739                     StreamDeck                        ESDCustomPluginCommunication::start():          Using port 28196 to communicate with plugins
15:39:20.749                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading custom plugins...
15:39:20.749                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.axytradingtools.sdPlugin...
15:39:20.750                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.axytradingtools2.sdPlugin...
15:39:20.750                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.apininja.sdPlugin...
15:39:20.751                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.speedtest.sdPlugin...
15:39:20.751                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.spotify.sdPlugin...
15:39:20.753                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.stockticker.sdPlugin...
15:39:20.754                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.wintools.sdPlugin...
15:39:20.757                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.keycreator.sdPlugin...
15:39:20.757                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.memorygame.sdPlugin...
15:39:20.758                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.reactiondeck.sdPlugin...
15:39:20.759                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.exension.stocks.sdPlugin...
15:39:20.759                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading gg.datagram.web-requests.sdPlugin...
15:39:21.068                     StreamDeck                        ESDVSDServer::init():                           ### [SERVER] init
15:39:21.068                     StreamDeck                        ESDCUEHub::init():                              ### [CUESDK] init
15:39:21.076                     StreamDeck                        AccountMgr::InitializeAccountMgr():             AccountMgr initialized
15:39:21.076                     StreamDeck                        AccountMgr::ReloadAllAccountsFromPreferences(): Reload all accounts
15:39:21.077                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Twitter
15:39:21.077                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for YouTube
15:39:21.077                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Streamlabs
15:39:21.077                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Twitch
15:39:21.077                     StreamDeck                        EGCAPILiteDLL::LoadDLL():                       Could not load EGCAPILite.dll
15:39:21.077                     StreamDeck                        EGCAPILiteDLL::LoadDLL():                       Loading EGCAPILite.dll from: C:\Program Files\Elgato\GameCapture\EGCAPILite.dll, result: 0
15:39:21.077                     StreamDeck                        EGCAPILiteDLL::Initialize():                    mInitializeFunc is not set
15:39:21.077                     StreamDeck                        GameCaptureSync::GameCaptureSync():             Unable to initialize Game Capture integration.
15:39:21.077                     StreamDeck                        MainWindow::ReloadProfiles():                   Flattening profiles in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2
15:39:21.080                     StreamDeck                        MainWindow::ReloadProfiles():                   Loading profiles from C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2
15:39:21.080                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\176F9ED3-E56F-4183-8F1E-2385EA69CC67.sdProfile
15:39:21.081                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\1EEBE702-E1AD-4D60-A0B0-618D78DE6E60.sdProfile
15:39:21.081                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\5B5F68A9-79A8-44DC-8CBE-359C64606381.sdProfile
15:39:21.081                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\C170D543-86F3-44B6-92CA-B99BF3186D86.sdProfile
15:39:21.082                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\E03E3D19-1330-4FC6-967C-F8DDE7EB3352.sdProfile
15:39:21.083                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid ABF484EE-0FE5-4FA4-BB2E-A490E55C8540 added to profile 296C3531-BBCB-48A3-8DB0-9DB1C49D5076
15:39:21.084                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 2003F08F-1F0C-4EF8-A1BF-78CF6D05F081 added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:39:21.084                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C74BC9F3-93D9-448B-9A53-03934CD3ED5E added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:39:21.084                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 9006A453-863F-4FB9-BABD-5A6E01BA91D8 added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:39:21.084                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 7478E3B9-09B0-4663-BDE4-687E14D9C36B added to profile CBD4FE99-18E1-4578-AB27-E673A3396AE9
15:39:21.085                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 497F1AC2-91D4-46BD-956E-E8F925CC12D3 added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:39:21.085                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 2DA0BB55-44C3-4A23-B5F6-F18E69B2F7A8 added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:39:21.085                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 02F1454D-2B8E-4081-8B2E-DEEB821CFE8C added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:39:21.085                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 09052463-EC68-4CE1-8F47-7DA8BF4049FE added to profile D09BEDDD-FA2E-48F4-BE44-8AEA76E7A018
15:39:21.086                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 6156EB39-4DAE-4E17-AA30-17AC8B56E96F added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
15:39:21.086                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C53D58C1-222C-46FC-AAFB-49A7AA276A09 added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
15:39:21.086                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C7227659-7A73-4BFE-B878-19EE61E36DA9 added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
